station_id,station_name
100000059,Ланс Эцэс
100000057,Ланс 2
100000055,Ланс 1
100000054,Гандан
100000049,60 айл
100000048,Хүмүүн ахлах сургууль
100000047,Авто тээврийн төв
100000061,Нэгдсэн эмнэлэг
100000052,Ская худалдааны төв
100000063,Баянхошуу Эцэс
100000065,Баянхошуу 3
100000067,Баянхошуу 2
100000069,Баянхошуу 1
100000070,Авто засвар
100000073,АЗЗА
100000081,Замт дэлгүүр
100000091,Зүүндэлгэр Эцэс
100000087,Зүүндэлгэр 3
100000089,Зүүндэлгэр 2
100000085,Зүүндэлгэр 1
100000093,Түмэн маркет
100000082,Од маркет
20,5 Шар
18,Монгол хюндэй киа компани
11,32-р байр
9,Хар хорин
6,Цамбагарав
4,Саппоро
147,3-р эмнэлэг
149,10-р хороолол
151,25-р Эмийн сан
1225,ТБД андууд
274,Баруун 4 зам
273,Улсын Их Дэлгүүр
100000039,Хүнсний 20
279,Сүхбаатарын талбай
281,Өргөө амаржих газар
369,Бөхийн өргөө
371,Зүүн 4 зам
373,Жуковын музей
375,Монгол кино үйлдвэр
377,Баянзүрх дүүрэг
379,Офицеруудын ордон
380,Офицеруудын ордон
615,Зунжин худалдааны төв
333,Ар согоот
331,Салхит
1258,Салхит завсар-3
1256,Салхит завсар-2
1254,Салхит завсар-1
314,Замын цагдаагийн пост
241,7 БУУДАЛ
243,6 буудал
1444,Оргил супермаркет
245,7 Завсар
247,5 буудал
269,17-р сургууль
267,32-ын тойрог
300,Ногоон нуур буудал
294,4-р дэлгүүр
287,МУБИС
807,Архивын ерөнхий газар
627,Шинэ яармаг хороолол
562,Буянт-Ухаа спорт цогцолбор
716,118-р Сургууль
519,Яармагийн 4-р буудал
521,Эмнэлгийн буудал
523,Яармагийн 3-р буудал
525,Яармагийн 2-р буудал
529,Яармагийн 1-р буудал
1313,Англи сургууль
718,Хүннү Их дэлгүүр
527,Вива сити
721,MSM
534,Жем
538,Таван богд компани
540,Ажилчдын соёлын ордон
542,Төв цэнгэлдэх хүрээлэн
282,Төв номын сан
100000133,Сүхбаатарын талбайн төв зогсоол
437,ШАР ХАДНЫ ЭЦЭС
436,Да хүрээ зах
434,Цахлай
431,Эрдэнэтолгой
429,16-р хороолол
425,Цайз зах
423,1000 оюутны байр
418,Их засаг Их Сургууль
420,Цагдаагийн 801-р анги
362,КТМС
416,Сансар ШТС
306,Сүхбаатар дүүргийн эмнэлэг
270,3-р сургууль
257,Баянбүрд
177,МҮИС
182,Москва ресторан
165,Өргөө кино театр
164,"3,4-р хороололын эцэс"
162,Гэмтлийн эмнэлэг
1396,Дэнж
5,Саппоро
7,Цамбагарав
579,Ботаник
386,Хууль сахиулах их сургууль
384,Шөнийн дэлгүүр
382,Чулуун овоо
1160,Номин худалдааны төв
412,БЗД 13-р хороо
409,Ахмадын хороолол
407,Нарантуул зах
651,Миний дэлгүүр
311,Замын цагдаагийн газар
1503,ҮСА Хүрээлэн
285,Жигүүр гранд
1407,Монгол эм импекс
178,Вокзал
1406,Хермес худалдааны төв
150,10-р хороолол
636,ТЭЦ-3
558,Говь
618,Хос Өргөө хотхон
555,Жаргалант төв
702,Дунд голын 1-р буудал
545,Төв цэнгэлдэх хүрээлэн
547,Жаргалан хотхон
772,Баянмонгол хороолол
774,Сүмбэр Орд
100000132,Дүнжингарав Худалдааны төв
100000202,Шинэ зуун айл худалдааны төв
100000203,Монгол тэмүүлэл сургууль
620,Санзайн эцэс
897,Санзай
895,Хандгайт
1144,Их тамир амралт
1354,Майхан толгой
1356,Майхан толгой 1
1358,Баянбулаг
357,Баянбулаг 1
1326,Баянбулаг
