end_time_at_start_point,station_list,result_code,line_name,line_id,weekday_interval,start_time_at_end_point,holiday_interval,start_time_at_start_point,line_type,end_time_at_end_point,direction
18:50,"['100000059', '100000057', '100000055', '100000054', '100000049', '100000048', '100000047', '100000061', '100000052']",1,ЗМ:1 (Lans Etses-Sky shopping center),15000000,60,19:05,60,18:50,,19:05,start
18:35,"['100000063', '100000065', '100000067', '100000069', '100000070', '100000073', '100000061', '100000052']",1,ЗМ:2 (Bayanhoshuu Etses-Sky shopping center),15000001,60,18:50,60,18:35,,18:50,start
18:50,"['100000081', '100000049', '100000048', '100000047', '100000061', '100000052']",1,ЗМ:3 (Zamt Delguur-Sky shopping center),15000002,60,19:10,60,18:50,,19:10,start
18:40,"['100000091', '100000087', '100000089', '100000085', '100000093', '100000082', '100000061', '100000052']",1,ЗМ:4 (Zuundelger Etses-Sky shopping center),15000003,60,19:05,60,18:40,,19:05,start
21:47,"['000000020', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000151', '000001225', '000000274', '000000273', '100000039', '000000279', '000000281', '000000369', '000000371', '000000373', '000000375', '000000377', '000000379', '000000380']",1,М:1 (5 Shar-Officer station),11100801,1,07:02,1,07:20,,22:42,start
21:44,"['000000615', '000000333', '000000331', '000001258', '000001256', '000001254', '000000314', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000300', '000000294', '000000287']",1,М:2 (Zunjin trade center-Mongolian national university of education),11100802,3,07:30,4,07:20,,22:24,start
22:36,"['000000807', '000000627', '000000562', '000000716', '000000519', '000000521', '000000523', '000000525', '000000529', '000001313', '000000718', '000000527', '000000721', '000000534', '000000538', '000000540', '000000542', '000000282', '100000133']",1,М:3 (General Office of Archives-),11100806,3,07:18,3,07:20,,23:24,start
22:36,"['000000437', '000000436', '000000434', '000000431', '000000429', '000000425', '000000423', '000000418', '000000420', '000000362', '000000416', '000000306', '000000270', '000000257', '000000177', '000000182', '000000165', '000000164', '000000162', '000001396', '000000005', '000000007', '000000006']",1,М:4 (Shar khad final station-Tsambagarav),11100803,1,07:24,1,07:20,,23:19,start
21:59,"['000000579', '000000386', '000000384', '000000382', '000001160', '000000412', '000000409', '000000407', '000000651', '000000311', '000001503', '000000285', '000001407', '000000178', '000001406', '000000150', '000000149']",1,М:5 (Botanik-10th section),11100804,3,07:19,3,07:20,,22:34,start
21:16,"['000000636', '000000558', '000000618', '000000555', '000000702', '000000545', '000000547', '000000772', '000000774', '100000132', '100000202', '100000203']",1,М:6 (3rd power plant-),11100805,6,07:24,9,07:20,,21:56,start
21:40,"['000000620', '000000897', '000000895', '000001144', '000001354', '000001356', '000001358', '000000357', '000001326', '000000356', '000001325', '000000349', '000000345', '000000342', '000001264', '000000340', '000001262', '000000338', '000001266', '000000335', '000001296', '000000333', '000000331', '000001258', '000001256', '000001254', '000000314', '000000241']",1,Х:1 (Baga bayan camp-7th station),11100815,15,07:25,15,07:00,,22:30,start
22:51,"['000001217', '000001218', '100000231', '100000229', '000001216', '100000227', '100000225', '100000223', '100000221', '100000219', '100000217', '000000858', '000000859', '100000126', '100000124', '100000122', '100000120', '100000118', '100000116', '000001441', '000000038', '000000633', '000000021']",1,Х:10 (Shand khurgan-5 Shar),11100829,15,07:15,30,07:15,,23:36,start
22:46,"['000001329', '000001381', '000001379', '100000228', '100000230', '000001217', '000001218', '100000231', '100000229', '000001216', '100000227', '100000225', '100000223', '100000221', '100000219', '100000217', '000000858', '000000859', '100000126', '100000124', '100000122', '100000120', '100000118', '100000116', '000001441', '000000038', '000000633', '000000021']",1,Х:11 (Davaany zurlug-5 Shar),11100820,30,07:00,30,07:00,,23:51,start
22:46,"['000001214', '000001373', '000001375', '000000473', '000000870', '000001428', '000001424', '000000470', '000000878', '000000468', '000000673', '000000675', '000000467', '000000394', '000000392', '000000390', '000000388', '000000386', '000000384', '000000382', '000001402', '000000380', '000000379']",1,Х:12 (Khonkhor final station-Officer station),11100821,15,07:19,15,07:20,,23:28,start
21:36,"['000001220', '000001219', '000000946', '000000859', '100000126', '100000124', '100000122', '100000120', '100000118', '100000116', '000001441', '000000038', '000000633', '000000021']",1,Х:13 (Mal bordokh-5 Shar),11100822,15,07:10,20,07:00,,22:06,start
21:44,"['000000919', '000000917', '000000849', '000000851', '000000854', '100000217', '000000858', '000000859', '100000126', '100000124', '100000122', '100000120', '100000118', '100000116', '000001441', '000000038', '000000633', '000000021']",1,Х:14 (Baruun turuu final station-5 Shar),11100823,12,07:19,15,07:20,,22:26,start
21:10,"['000001586', '000001588', '000001590', '000001592', '000001594', '000001596', '000001598', '000001600', '000001603', '000001602', '000000851', '000000854', '100000217', '000000858', '000000859', '100000126', '100000124', '100000122', '100000120', '100000118', '100000116', '000001441', '000000038', '000000633', '000000021']",1,Х:15 (Jargalant partizan-5 Shar),11100824,10,06:17,15,07:05,,22:45,start
21:21,"['100000215', '100000232', '000000871', '000001568', '000001570', '000001571', '000001132']",1,Х:16 (-Shine Nalaikh apartment),11100876,60,00:00,60,07:43,,00:00,start
21:56,"['000000350', '000001605', '000001607', '000000352', '000000353', '000000349', '000000345', '000000342', '000001264', '000000340', '000001262', '000000338', '000001266', '000000335', '000001296', '000000333', '000000331', '000001258', '000001256', '000001254', '000000314', '000000241']",1,Х:2 (Sharga morit final station-7th station),11100816,15,07:40,15,07:20,,22:36,start
20:56,"['000000881', '000001331', '000001562', '000001563', '000000698', '000000920', '000001335', '000001333', '000000476', '000000875', '000000873', '000000871', '000000477']",1,Х:3 (Gorodok-10 shar bair),11100827,60,07:50,60,07:20,,21:26,start
18:45,"['000000379', '000001401', '000000381', '000000383', '000000385', '000000387', '000000389', '000000391', '000000393', '000000466', '000000676', '000000674', '000000469', '000000877', '000000471', '000001425', '000001429', '000000869', '000000474', '000000901', '000001132', '000000476', '000001460', '000001461', '000001463', '000001334', '000001336', '000000921', '000001126', '000001136', '000001137', '000001139']",1,Х:4 (Officer station-Shiljree),11100825,60,10:05,60,07:15,,21:35,start
21:42,"['000000477', '000000872', '000000874', '000000876', '000000475', '000001131', '000000902', '000000473', '000000870', '000001428', '000001424', '000000470', '000000878', '000000468', '000000673', '000000675', '000000467', '000000394', '000000392', '000000390', '000000388', '000000386', '000000384', '000000382', '000001402', '000000380', '000000379']",1,Х:5 (10 shar bair-Officer station),11100826,3,06:39,4,06:40,,22:45,start
20:56,"['000000574', '000001204', '000001202', '000001200', '000001198', '000001196', '000000808', '000000575', '000000569', '000000571', '000000566', '000000936', '000000564', '100000113', '000000807', '000000627', '000000562', '000000716', '000000519', '000000521', '000000523', '000000524']",1,Х:6 (Turgenii gol final station-Yarmag 3rd station),11100817,12,07:25,15,07:00,,21:46,start
21:36,"['000001345', '000001344', '000000490', '000000810', '000001505', '000000491', '000000818', '000000816', '000000846', '000000495', '000000493', '000001390', '000000497', '000001393', '000001389', '000000811', '000001387', '000000814', '000000499', '000001585', '000001395', '000000501', '000000503', '000000512', '000000510', '000000138', '000000716', '000000519', '000000521', '000000523', '000000524']",1,Х:7 (Tuul tosgon new final station-Yarmag 3rd station),11100818,12,07:30,15,07:00,,22:36,start
21:50,"['000000883', '100000022', '100000024', '100000025', '000000663', '000000894', '000000662', '000000660', '000000034', '000000888', '000000890', '000001414', '000001416', '000000079', '000000077', '000000075', '000000072', '000000024', '000000022', '000000633', '000000021']",1,Х:8 (Nairamdal camp-5 Shar),11100828,15,07:16,15,07:15,,22:29,start
20:56,"['000001448', '000001389', '000000811', '000001387', '000000814', '000000499', '000001585', '000001395', '000000501', '000000503', '000000512', '000000510', '000000138', '000000716', '000000519', '000000521', '000000523', '000000524']",1,Х:9 (190th Kindergarten-Yarmag 3rd station),11100819,20,07:13,20,07:00,,21:36,start
21:38,"['100000201', '000001560', '000000364', '000000487', '000000483', '000001431', '000000417', '000000413', '000000401', '000000406', '000001445', '000000773', '000000771', '000000546', '000000544', '000001337', '000000541', '000000539', '000000535', '000000532', '000001464']",1,Ч:10 (-3rd power plant),11100100,7,07:36,8,07:20,,22:48,start
22:23,"['000000036', '000000820', '000000822', '000000824', '000000826', '000000828', '000000830', '000000832', '000000834', '000000836', '000000838', '000000032', '000000841', '000000847', '000000843', '000000031', '000000029', '000000892', '000000027', '000000024', '000000022', '000000020', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000148']",1,Ч:13 (Takhilt final station-3rd hospital),11100130,4,07:30,5,07:20,,23:08,start
22:17,"['000000505', '000000507', '000000509', '000000503', '000000512', '000000510', '000000138', '000001285', '000000514', '000001287', '000001289', '000001291', '000000046', '000001293', '000000044', '000000042', '000000040', '000000038', '000000020']",1,Ч:15 (Nisekh-5 Shar),11100150,4,07:29,4,07:20,,22:51,start
21:07,"['000000933', '100000111', '100000110', '100000108', '100000106', '100000104', '000000130', '000001280', '000000132', '000001610', '000000128', '000001278', '000000654', '000000126', '000000105', '000000103', '000000101', '000000649', '000000749', '000000751', '000000753', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000150']",1,Ч:16 (Bumbatyn rashaan final station-10th section),11100160,5,07:26,7,07:20,,22:09,start
21:47,"['000000130', '000001280', '000000132', '000001610', '000000128', '000001278', '000000966', '000000968', '000000970', '000000972', '000000974', '000000751', '000000753', '000000062', '000000052', '000000050', '000000048', '000001412']",1,Ч:16А (Baruun salaa final station-5 Shar),11100163,15,07:36,20,07:25,,22:21,start
21:46,"['000000417', '000000413', '000000401', '000000406', '000000651', '000000311', '000001503', '000000285', '000001407', '000000178']",1,Ч:17А (Sansar gas station-Railway station),11100171,10,07:36,12,07:30,,22:16,start
21:58,"['000000416', '000000306', '000000270', '000000257', '000000255', '000000253', '000000251', '000000155', '000000153', '000001403', '000000671']",1,Ч:17Б (Sansar gas station-Railway station),11100172,10,07:36,12,07:30,,22:28,start
21:48,"['000000636', '000000724', '000000560', '000000635', '000000145', '000000161']",1,Ч:18А (3rd power plant-Hospital for Injury and Trauma),11100181,10,07:35,12,07:30,,22:06,start
22:05,"['000000177', '000000169', '000000170', '000000171', '000000188', '000000162', '000001396', '000000634', '000000561', '000000725', '000000533']",1,Ч:18Б (Mongolian National University-3rd power plant),11100182,12,07:47,15,07:30,,22:39,start
21:06,"['000000770', '000001544', '000000441', '000000762', '000000764', '000000766', '000000768', '000000424', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000414']",1,Ч:19А (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv),11100191,8,08:05,9,07:30,,21:41,start
21:26,"['000000770', '000001544', '000001547', '000001549', '000001551', '000001560', '000000364', '000001555', '000001557', '000001559', '000000269', '000000267', '000000302', '000000303', '000000305', '000000417', '000000413']",1,Ч:19Б (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv),11100192,8,07:51,9,07:30,,22:11,start
21:57,"['000000437', '000000436', '000000434', '000000431', '000000429', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000372', '000000370', '000000585', '100000131', '000000193', '100000010', '000000155', '000001154', '000000159', '000000182', '000000165', '000000164']",1,"Ч:2 (Shar khad final station-Final station of 3, 4th section)",11100020,4,07:34,5,07:30,,22:50,start
21:42,"['000000117', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000177', '000000182', '000000165', '000000164', '000000162', '000001396', '000000745', '000000746', '000000017', '000000013']",1,Ч:20А (Bayankhoshuu-Flat 34),11100201,6,08:07,7,07:30,,22:19,start
