id,station_id,latitude,longitude
0,100000059,47.7068,106.97135
1,100000057,47.70371,106.96721
2,100000055,47.70284,106.96376
3,100000054,47.70511,106.96151
4,100000049,47.70987,106.95182
5,100000048,47.70969,106.94874
6,100000047,47.70566,106.94383
7,100000061,47.70359,106.95082
8,100000052,47.70578,106.95296
9,100000063,47.69029,106.96512
10,100000065,47.68893,106.9621
11,100000067,47.68627,106.95697
12,100000069,47.68787,106.9514
13,100000070,47.69188,106.94888
14,100000073,47.69581,106.94913
15,100000081,47.71303,106.95454
16,100000091,47.7002,106.99313
17,100000087,47.70029,106.98765
18,100000089,47.69779,106.98791
19,100000085,47.69536,106.98548
20,100000093,47.6961,106.97265
21,100000082,47.70089,106.96179
22,20,47.90965,106.81484
23,18,47.91061,106.82659
24,11,47.91113,106.83359
25,9,47.91166,106.84054
26,6,47.9122,106.84736
27,4,47.91256,106.85283
28,147,47.91305,106.86022
29,149,47.91359,106.86828
30,151,47.91437,106.87949
31,1225,47.91471,106.88725
32,274,47.91535,106.89752
33,273,47.91585,106.90354
34,100000039,47.91624,106.90802
35,279,47.91675,106.9179
36,281,47.918,106.92632
37,369,47.91839,106.93362
38,371,47.91885,106.94104
39,373,47.91739,106.95157
40,375,47.91662,106.9605
41,377,47.91621,106.96512
42,379,47.9158,106.97028
43,380,47.91616,106.97022
44,615,48.00505,106.92323
45,333,47.99991,106.92437
46,331,47.99331,106.92567
47,1258,47.98865,106.92511
48,1256,47.98344,106.92361
49,1254,47.98006,106.92049
50,314,47.97417,106.91797
51,241,47.96827,106.91723
52,243,47.96502,106.91725
53,1444,47.96128,106.91672
54,245,47.95819,106.91593
55,247,47.95455,106.915
56,269,47.94768,106.91389
57,267,47.94317,106.91448
58,300,47.93502,106.91599
59,294,47.92716,106.91744
60,287,47.91972,106.9233
61,807,47.83998,106.79047
62,627,47.84887,106.79
63,562,47.85372,106.78855
64,716,47.85966,106.79335
65,519,47.86191,106.80076
66,521,47.86537,106.81206
67,523,47.8674,106.819
68,525,47.86967,106.82656
69,529,47.87181,106.83363
70,1313,47.87494,106.84509
71,718,47.87787,106.85233
72,527,47.88135,106.85894
73,721,47.89191,106.8725
74,534,47.89461,106.88065
75,538,47.8981,106.89097
76,540,47.89888,106.89815
77,542,47.90169,106.91039
78,282,47.91426,106.91556
79,100000133,47.91794,106.91779
80,437,47.93451,107.00545
81,436,47.93026,107.00532
82,434,47.92722,106.99976
83,431,47.92422,106.99444
84,429,47.92376,106.9841
85,425,47.92425,106.97032
86,423,47.92382,106.96296
87,418,47.92364,106.95287
88,420,47.92443,106.94792
89,362,47.92656,106.94321
90,416,47.92848,106.93761
91,306,47.92999,106.92891
92,270,47.92921,106.91833
93,257,47.92833,106.90752
94,177,47.92484,106.89413
95,182,47.92297,106.88093
96,165,47.92282,106.87491
97,164,47.92255,106.86711
98,162,47.92134,106.85723
99,1396,47.9198,106.85477
100,5,47.9128,106.85172
101,7,47.91235,106.8453
102,579,47.91291,107.00088
103,386,47.91314,106.99569
104,384,47.91273,106.98791
105,382,47.91234,106.98015
106,1160,47.91042,106.97461
107,412,47.90795,106.96653
108,409,47.90806,106.95923
109,407,47.90812,106.94687
110,651,47.90821,106.93575
111,311,47.90832,106.92855
112,1503,47.90833,106.92281
113,285,47.90835,106.90869
114,1407,47.90867,106.90055
115,178,47.90969,106.88438
116,1406,47.91139,106.87419
117,150,47.91393,106.867
118,636,47.89963,106.86723
119,558,47.90262,106.87107
120,618,47.90244,106.8856
121,555,47.9023,106.89898
122,702,47.90432,106.90598
123,545,47.90412,106.91763
124,547,47.9044,106.92472
125,772,47.90444,106.93309
126,774,47.9047,106.93957
127,100000132,47.90469,106.94869
128,100000202,47.90539,106.96942
129,100000203,47.90522,106.98226
130,620,48.14857,106.88855
131,897,48.13337,106.89512
132,895,48.11296,106.90227
133,1144,48.11304,106.91427
134,1354,48.09582,106.89669
135,1356,48.08795,106.8972
136,1358,48.08249,106.89856
137,357,48.07743,106.89976
138,1326,48.06998,106.89855
139,356,48.06591,106.89877
140,1325,48.06071,106.90106
141,349,48.05266,106.9053
142,345,48.04772,106.90065
143,342,48.04296,106.90313
144,1264,48.03875,106.90529
145,340,48.03486,106.9074
