id,line_id,direction,start_time_at_start_point,start_time_at_end_point,end_time_at_start_point,end_time_at_end_point,id
0,15000000,start,18:50,19:05,18:50,19:05,0
1,15000001,start,18:35,18:50,18:35,18:50,1
2,15000002,start,18:50,19:10,18:50,19:10,2
3,15000003,start,18:40,19:05,18:40,19:05,3
4,11100801,start,07:20,07:02,21:47,22:42,4
5,11100802,start,07:20,07:30,21:44,22:24,5
6,11100806,start,07:20,07:18,22:36,23:24,6
7,11100803,start,07:20,07:24,22:36,23:19,7
8,11100804,start,07:20,07:19,21:59,22:34,8
9,11100805,start,07:20,07:24,21:16,21:56,9
10,11100815,start,07:00,07:25,21:40,22:30,10
11,11100829,start,07:15,07:15,22:51,23:36,11
12,11100820,start,07:00,07:00,22:46,23:51,12
13,11100821,start,07:20,07:19,22:46,23:28,13
14,11100822,start,07:00,07:10,21:36,22:06,14
15,11100823,start,07:20,07:19,21:44,22:26,15
16,11100824,start,07:05,06:17,21:10,22:45,16
17,11100876,start,07:43,00:00,21:21,00:00,17
18,11100816,start,07:20,07:40,21:56,22:36,18
19,11100827,start,07:20,07:50,20:56,21:26,19
20,11100825,start,07:15,10:05,18:45,21:35,20
21,11100826,start,06:40,06:39,21:42,22:45,21
22,11100817,start,07:00,07:25,20:56,21:46,22
23,11100818,start,07:00,07:30,21:36,22:36,23
24,11100828,start,07:15,07:16,21:50,22:29,24
25,11100819,start,07:00,07:13,20:56,21:36,25
26,11100100,start,07:20,07:36,21:38,22:48,26
27,11100130,start,07:20,07:30,22:23,23:08,27
28,11100150,start,07:20,07:29,22:17,22:51,28
29,11100160,start,07:20,07:26,21:07,22:09,29
30,11100163,start,07:25,07:36,21:47,22:21,30
31,11100171,start,07:30,07:36,21:46,22:16,31
32,11100172,start,07:30,07:36,21:58,22:28,32
33,11100181,start,07:30,07:35,21:48,22:06,33
34,11100182,start,07:30,07:47,22:05,22:39,34
35,11100191,start,07:30,08:05,21:06,21:41,35
36,11100192,start,07:30,07:51,21:26,22:11,36
37,11100020,start,07:30,07:34,21:57,22:50,37
38,11100201,start,07:30,08:07,21:42,22:19,38
39,11100202,start,07:30,08:07,21:56,22:33,39
40,11100211,start,07:30,07:37,21:46,22:27,40
41,11100212,start,07:30,07:38,21:43,22:21,41
42,11100223,start,07:20,07:36,21:51,23:15,42
43,11100230,start,07:20,07:26,21:51,22:36,43
44,11100241,start,07:20,07:50,21:46,22:36,44
45,11100240,start,07:30,07:48,21:47,22:45,45
46,11100250,start,07:30,07:35,21:46,22:31,46
47,11100260,start,07:20,07:30,21:46,22:36,47
48,11100270,start,07:20,07:23,21:03,22:00,48
49,11100280,start,07:30,07:11,21:56,22:47,49
50,14100118,start,07:20,07:28,21:20,22:22,50
51,14100135,start,07:20,07:33,22:25,22:52,51
52,11100310,start,07:20,07:49,21:07,22:12,52
53,14100121,start,07:30,07:38,21:48,22:28,53
54,11100330,start,07:20,07:20,22:02,22:47,54
55,11100340,start,07:20,07:17,21:52,22:59,55
56,11100350,start,07:20,07:51,21:24,21:55,56
57,11100370,start,07:30,07:30,21:56,22:38,57
58,11100380,start,07:30,07:53,21:12,22:15,58
59,11100390,start,07:30,07:29,22:52,23:31,59
60,11100040,start,07:30,07:33,22:00,22:39,60
61,11100400,start,07:20,07:24,21:08,22:15,61
62,11100410,start,07:20,07:42,20:59,21:57,62
63,11100420,start,07:20,07:25,21:52,22:39,63
64,11100430,start,07:20,07:19,22:01,22:30,64
65,11100440,start,07:30,07:29,21:59,23:06,65
66,11100460,start,07:20,07:38,21:31,22:09,66
67,11100480,start,07:30,07:22,21:59,22:42,67
68,11100482,start,07:30,07:39,21:15,21:58,68
69,11100490,start,07:20,07:49,21:02,22:01,69
70,11100500,start,07:30,07:16,21:59,22:46,70
71,11100510,start,07:30,07:43,22:18,23:01,71
72,11100520,start,07:30,07:29,21:51,22:29,72
73,11100530,start,07:20,07:24,21:50,22:30,73
74,11100540,start,07:20,07:10,21:46,22:56,74
75,11100550,start,07:30,07:24,21:43,22:32,75
76,11100570,start,07:20,07:31,21:08,22:03,76
77,11100573,start,07:30,07:50,21:01,22:03,77
78,11100580,start,07:20,07:22,21:58,22:38,78
79,11100060,start,07:20,07:19,21:32,22:07,79
80,11100612,start,07:30,07:24,21:10,22:01,80
81,11100620,start,07:20,07:13,21:50,22:30,81
82,11100630,start,07:30,07:35,21:56,22:21,82
83,11100640,start,07:30,08:00,21:56,22:26,83
84,11100650,start,07:30,07:30,21:33,22:21,84
85,11100660,start,07:30,07:30,21:41,22:09,85
86,11100670,start,07:00,07:15,21:56,22:11,86
87,11100680,start,07:20,07:20,22:02,22:21,87
88,14100129,start,07:30,07:13,21:53,22:42,88
89,11100070,start,07:20,07:30,21:51,22:46,89
90,11100700,start,07:30,07:35,21:46,22:11,90
91,11100710,start,07:30,07:29,21:55,22:35,91
92,11100720,start,07:20,07:19,21:46,22:21,92
93,11100730,start,07:20,07:13,21:32,22:45,93
94,11100740,start,07:30,07:57,21:09,22:03,94
95,11100155,start,07:20,07:20,22:12,22:42,95
96,11100743,start,07:20,07:36,22:19,23:09,96
97,11100080,start,07:20,07:31,21:46,22:21,97
98,11100090,start,07:20,07:32,21:18,22:10,98
99,11100840,start,07:20,07:33,22:18,23:13,99
100,11100844,start,07:20,07:23,21:56,22:29,100
101,11100845,start,07:20,07:25,22:04,22:24,101
102,11100846,start,07:20,07:23,22:18,22:43,102
103,11100848,start,07:20,00:00,21:56,00:00,103
104,11100849,start,07:20,07:27,21:56,22:31,104
105,11100850,start,07:20,07:33,22:06,22:48,105
106,11100851,start,07:20,07:37,21:52,22:20,106
107,11100853,start,07:20,07:29,22:18,23:06,107
108,11100856,start,07:20,07:36,22:12,22:52,108
109,11100857,start,07:20,07:25,22:15,22:55,109
110,15000000,end,18:50,19:05,18:50,19:05,110
111,15000001,end,18:35,18:50,18:35,18:50,111
112,15000002,end,18:50,19:10,18:50,19:10,112
113,15000003,end,18:40,19:05,18:40,19:05,113
114,11100801,end,07:20,07:02,21:47,22:42,114
115,11100802,end,07:20,07:30,21:44,22:24,115
116,11100806,end,07:20,07:18,22:36,23:24,116
117,11100803,end,07:20,07:24,22:36,23:19,117
118,11100804,end,07:20,07:19,21:59,22:34,118
119,11100805,end,07:20,07:24,21:16,21:56,119
120,11100815,end,07:00,07:25,21:40,22:30,120
121,11100829,end,07:15,07:15,22:51,23:36,121
122,11100820,end,07:00,07:00,22:46,23:51,122
123,11100821,end,07:20,07:19,22:46,23:28,123
124,11100822,end,07:00,07:10,21:36,22:06,124
125,11100823,end,07:20,07:19,21:44,22:26,125
126,11100824,end,07:05,06:17,21:10,22:45,126
127,11100876,end,07:43,00:00,21:21,00:00,127
128,11100816,end,07:20,07:40,21:56,22:36,128
129,11100827,end,07:20,07:50,20:56,21:26,129
130,11100825,end,07:15,10:05,18:45,21:35,130
131,11100826,end,06:40,06:39,21:42,22:45,131
132,11100817,end,07:00,07:25,20:56,21:46,132
133,11100818,end,07:00,07:30,21:36,22:36,133
134,11100828,end,07:15,07:16,21:50,22:29,134
135,11100819,end,07:00,07:13,20:56,21:36,135
136,11100100,end,07:20,07:36,21:38,22:48,136
137,11100130,end,07:20,07:30,22:23,23:08,137
138,11100150,end,07:20,07:29,22:17,22:51,138
139,11100160,end,07:20,07:26,21:07,22:09,139
140,11100163,end,07:25,07:36,21:47,22:21,140
141,11100171,end,07:30,07:36,21:46,22:16,141
142,11100172,end,07:30,07:36,21:58,22:28,142
143,11100181,end,07:30,07:35,21:48,22:06,143
144,11100182,end,07:30,07:47,22:05,22:39,144
145,11100191,end,07:30,08:05,21:06,21:41,145
146,11100192,end,07:30,07:51,21:26,22:11,146
147,11100020,end,07:30,07:34,21:57,22:50,147
148,11100201,end,07:30,08:07,21:42,22:19,148
149,11100202,end,07:30,08:07,21:56,22:33,149
150,11100211,end,07:30,07:37,21:46,22:27,150
151,11100212,end,07:30,07:38,21:43,22:21,151
152,11100223,end,07:20,07:36,21:51,23:15,152
153,11100230,end,07:20,07:26,21:51,22:36,153
154,11100241,end,07:20,07:50,21:46,22:36,154
155,11100240,end,07:30,07:48,21:47,22:45,155
156,11100250,end,07:30,07:35,21:46,22:31,156
157,11100260,end,07:20,07:30,21:46,22:36,157
158,11100270,end,07:20,07:23,21:03,22:00,158
159,11100280,end,07:30,07:11,21:56,22:47,159
160,14100118,end,07:20,07:28,21:20,22:22,160
161,14100135,end,07:20,07:33,22:25,22:52,161
162,11100310,end,07:20,07:49,21:07,22:12,162
163,14100121,end,07:30,07:38,21:48,22:28,163
164,11100330,end,07:20,07:20,22:02,22:47,164
165,11100340,end,07:20,07:17,21:52,22:59,165
166,11100350,end,07:20,07:51,21:24,21:55,166
167,11100370,end,07:30,07:30,21:56,22:38,167
168,11100380,end,07:30,07:53,21:12,22:15,168
169,11100390,end,07:30,07:29,22:52,23:31,169
170,11100040,end,07:30,07:33,22:00,22:39,170
171,11100400,end,07:20,07:24,21:08,22:15,171
172,11100410,end,07:20,07:42,20:59,21:57,172
173,11100420,end,07:20,07:25,21:52,22:39,173
174,11100430,end,07:20,07:19,22:01,22:30,174
175,11100440,end,07:30,07:29,21:59,23:06,175
176,11100460,end,07:20,07:38,21:31,22:09,176
177,11100480,end,07:30,07:22,21:59,22:42,177
178,11100482,end,07:30,07:39,21:15,21:58,178
179,11100490,end,07:20,07:49,21:02,22:01,179
180,11100500,end,07:30,07:16,21:59,22:46,180
181,11100510,end,07:30,07:43,22:18,23:01,181
182,11100520,end,07:30,07:29,21:51,22:29,182
183,11100530,end,07:20,07:24,21:50,22:30,183
184,11100540,end,07:20,07:10,21:46,22:56,184
185,11100550,end,07:30,07:24,21:43,22:32,185
186,11100570,end,07:20,07:31,21:08,22:03,186
187,11100573,end,07:30,07:50,21:01,22:03,187
188,11100580,end,07:20,07:22,21:58,22:38,188
189,11100060,end,07:20,07:19,21:32,22:07,189
190,11100612,end,07:30,07:24,21:10,22:01,190
191,11100620,end,07:20,07:13,21:50,22:30,191
192,11100630,end,07:30,07:35,21:56,22:21,192
193,11100640,end,07:30,08:00,21:56,22:26,193
194,11100650,end,07:30,07:30,21:33,22:21,194
195,11100660,end,07:30,07:30,21:41,22:09,195
196,11100670,end,07:00,07:15,21:56,22:11,196
197,11100680,end,07:20,07:20,22:02,22:21,197
198,14100129,end,07:30,07:13,21:53,22:42,198
199,11100070,end,07:20,07:30,21:51,22:46,199
200,11100700,end,07:30,07:35,21:46,22:11,200
201,11100710,end,07:30,07:29,21:55,22:35,201
202,11100720,end,07:20,07:19,21:46,22:21,202
203,11100730,end,07:20,07:13,21:32,22:45,203
204,11100740,end,07:30,07:57,21:09,22:03,204
205,11100155,end,07:20,07:20,22:12,22:42,205
206,11100743,end,07:20,07:36,22:19,23:09,206
207,11100080,end,07:20,07:31,21:46,22:21,207
208,11100090,end,07:20,07:32,21:18,22:10,208
209,11100840,end,07:20,07:33,22:18,23:13,209
210,11100844,end,07:20,07:23,21:56,22:29,210
211,11100845,end,07:20,07:25,22:04,22:24,211
212,11100846,end,07:20,07:23,22:18,22:43,212
213,11100848,end,07:20,00:00,21:56,00:00,213
214,11100849,end,07:20,07:27,21:56,22:31,214
215,11100850,end,07:20,07:33,22:06,22:48,215
216,11100851,end,07:20,07:37,21:52,22:20,216
217,11100853,end,07:20,07:29,22:18,23:06,217
218,11100856,end,07:20,07:36,22:12,22:52,218
219,11100857,end,07:20,07:25,22:15,22:55,219
