id,trip_id,sequence_number,start_bus_stop,end_bus_stop
0,0,1,100000059,100000057
1,0,2,100000057,100000055
2,0,3,100000055,100000054
3,0,4,100000054,100000049
4,0,5,100000049,100000048
5,0,6,100000048,100000047
6,0,7,100000047,100000061
7,0,8,100000061,100000052
8,1,1,100000063,100000065
9,1,2,100000065,100000067
10,1,3,100000067,100000069
11,1,4,100000069,100000070
12,1,5,100000070,100000073
13,1,6,100000073,100000061
14,1,7,100000061,100000052
15,2,1,100000081,100000049
16,2,2,100000049,100000048
17,2,3,100000048,100000047
18,2,4,100000047,100000061
19,2,5,100000061,100000052
20,3,1,100000091,100000087
21,3,2,100000087,100000089
22,3,3,100000089,100000085
23,3,4,100000085,100000093
24,3,5,100000093,100000082
25,3,6,100000082,100000061
26,3,7,100000061,100000052
27,4,1,000000020,000000018
28,4,2,000000018,000000011
29,4,3,000000011,000000009
30,4,4,000000009,000000006
31,4,5,000000006,000000004
32,4,6,000000004,000000147
33,4,7,000000147,000000149
34,4,8,000000149,000000151
35,4,9,000000151,000001225
36,4,10,000001225,000000274
37,4,11,000000274,000000273
38,4,12,000000273,100000039
39,4,13,100000039,000000279
40,4,14,000000279,000000281
41,4,15,000000281,000000369
42,4,16,000000369,000000371
43,4,17,000000371,000000373
44,4,18,000000373,000000375
45,4,19,000000375,000000377
46,4,20,000000377,000000379
47,4,21,000000379,000000380
48,5,1,000000615,000000333
49,5,2,000000333,000000331
50,5,3,000000331,000001258
51,5,4,000001258,000001256
52,5,5,000001256,000001254
53,5,6,000001254,000000314
54,5,7,000000314,000000241
55,5,8,000000241,000000243
56,5,9,000000243,000001444
57,5,10,000001444,000000245
58,5,11,000000245,000000247
59,5,12,000000247,000000269
60,5,13,000000269,000000267
61,5,14,000000267,000000300
62,5,15,000000300,000000294
63,5,16,000000294,000000287
64,6,1,000000807,000000627
65,6,2,000000627,000000562
66,6,3,000000562,000000716
67,6,4,000000716,000000519
68,6,5,000000519,000000521
69,6,6,000000521,000000523
70,6,7,000000523,000000525
71,6,8,000000525,000000529
72,6,9,000000529,000001313
73,6,10,000001313,000000718
74,6,11,000000718,000000527
75,6,12,000000527,000000721
76,6,13,000000721,000000534
77,6,14,000000534,000000538
78,6,15,000000538,000000540
79,6,16,000000540,000000542
80,6,17,000000542,000000282
81,6,18,000000282,100000133
82,7,1,000000437,000000436
83,7,2,000000436,000000434
84,7,3,000000434,000000431
85,7,4,000000431,000000429
86,7,5,000000429,000000425
87,7,6,000000425,000000423
88,7,7,000000423,000000418
89,7,8,000000418,000000420
90,7,9,000000420,000000362
91,7,10,000000362,000000416
92,7,11,000000416,000000306
93,7,12,000000306,000000270
94,7,13,000000270,000000257
95,7,14,000000257,000000177
96,7,15,000000177,000000182
97,7,16,000000182,000000165
98,7,17,000000165,000000164
99,7,18,000000164,000000162
100,7,19,000000162,000001396
101,7,20,000001396,000000005
102,7,21,000000005,000000007
103,7,22,000000007,000000006
104,8,1,000000579,000000386
105,8,2,000000386,000000384
106,8,3,000000384,000000382
107,8,4,000000382,000001160
108,8,5,000001160,000000412
109,8,6,000000412,000000409
110,8,7,000000409,000000407
111,8,8,000000407,000000651
112,8,9,000000651,000000311
113,8,10,000000311,000001503
114,8,11,000001503,000000285
115,8,12,000000285,000001407
116,8,13,000001407,000000178
117,8,14,000000178,000001406
118,8,15,000001406,000000150
119,8,16,000000150,000000149
120,9,1,000000636,000000558
121,9,2,000000558,000000618
122,9,3,000000618,000000555
123,9,4,000000555,000000702
124,9,5,000000702,000000545
125,9,6,000000545,000000547
126,9,7,000000547,000000772
127,9,8,000000772,000000774
128,9,9,000000774,100000132
129,9,10,100000132,100000202
130,9,11,100000202,100000203
131,10,1,000000620,000000897
132,10,2,000000897,000000895
133,10,3,000000895,000001144
134,10,4,000001144,000001354
135,10,5,000001354,000001356
136,10,6,000001356,000001358
137,10,7,000001358,000000357
138,10,8,000000357,000001326
139,10,9,000001326,000000356
140,10,10,000000356,000001325
141,10,11,000001325,000000349
142,10,12,000000349,000000345
143,10,13,000000345,000000342
144,10,14,000000342,000001264
145,10,15,000001264,000000340
146,10,16,000000340,000001262
147,10,17,000001262,000000338
148,10,18,000000338,000001266
149,10,19,000001266,000000335
150,10,20,000000335,000001296
151,10,21,000001296,000000333
152,10,22,000000333,000000331
153,10,23,000000331,000001258
154,10,24,000001258,000001256
155,10,25,000001256,000001254
156,10,26,000001254,000000314
157,10,27,000000314,000000241
158,11,1,000001217,000001218
159,11,2,000001218,100000231
160,11,3,100000231,100000229
161,11,4,100000229,000001216
162,11,5,000001216,100000227
163,11,6,100000227,100000225
164,11,7,100000225,100000223
165,11,8,100000223,100000221
166,11,9,100000221,100000219
167,11,10,100000219,100000217
168,11,11,100000217,000000858
169,11,12,000000858,000000859
170,11,13,000000859,100000126
171,11,14,100000126,100000124
172,11,15,100000124,100000122
173,11,16,100000122,100000120
174,11,17,100000120,100000118
175,11,18,100000118,100000116
176,11,19,100000116,000001441
177,11,20,000001441,000000038
178,11,21,000000038,000000633
179,11,22,000000633,000000021
180,12,1,000001329,000001381
181,12,2,000001381,000001379
182,12,3,000001379,100000228
183,12,4,100000228,100000230
184,12,5,100000230,000001217
185,12,6,000001217,000001218
186,12,7,000001218,100000231
187,12,8,100000231,100000229
188,12,9,100000229,000001216
189,12,10,000001216,100000227
190,12,11,100000227,100000225
191,12,12,100000225,100000223
192,12,13,100000223,100000221
193,12,14,100000221,100000219
194,12,15,100000219,100000217
195,12,16,100000217,000000858
196,12,17,000000858,000000859
197,12,18,000000859,100000126
198,12,19,100000126,100000124
199,12,20,100000124,100000122
200,12,21,100000122,100000120
201,12,22,100000120,100000118
202,12,23,100000118,100000116
203,12,24,100000116,000001441
204,12,25,000001441,000000038
205,12,26,000000038,000000633
206,12,27,000000633,000000021
207,13,1,000001214,000001373
208,13,2,000001373,000001375
209,13,3,000001375,000000473
210,13,4,000000473,000000870
211,13,5,000000870,000001428
212,13,6,000001428,000001424
213,13,7,000001424,000000470
214,13,8,000000470,000000878
215,13,9,000000878,000000468
216,13,10,000000468,000000673
217,13,11,000000673,000000675
218,13,12,000000675,000000467
219,13,13,000000467,000000394
220,13,14,000000394,000000392
221,13,15,000000392,000000390
222,13,16,000000390,000000388
223,13,17,000000388,000000386
224,13,18,000000386,000000384
225,13,19,000000384,000000382
226,13,20,000000382,000001402
227,13,21,000001402,000000380
228,13,22,000000380,000000379
229,14,1,000001220,000001219
230,14,2,000001219,000000946
231,14,3,000000946,000000859
232,14,4,000000859,100000126
233,14,5,100000126,100000124
234,14,6,100000124,100000122
235,14,7,100000122,100000120
236,14,8,100000120,100000118
237,14,9,100000118,100000116
238,14,10,100000116,000001441
239,14,11,000001441,000000038
240,14,12,000000038,000000633
241,14,13,000000633,000000021
242,15,1,000000919,000000917
243,15,2,000000917,000000849
244,15,3,000000849,000000851
245,15,4,000000851,000000854
246,15,5,000000854,100000217
247,15,6,100000217,000000858
248,15,7,000000858,000000859
249,15,8,000000859,100000126
250,15,9,100000126,100000124
251,15,10,100000124,100000122
252,15,11,100000122,100000120
253,15,12,100000120,100000118
254,15,13,100000118,100000116
255,15,14,100000116,000001441
256,15,15,000001441,000000038
257,15,16,000000038,000000633
258,15,17,000000633,000000021
259,16,1,000001586,000001588
260,16,2,000001588,000001590
261,16,3,000001590,000001592
262,16,4,000001592,000001594
263,16,5,000001594,000001596
264,16,6,000001596,000001598
265,16,7,000001598,000001600
266,16,8,000001600,000001603
267,16,9,000001603,000001602
268,16,10,000001602,000000851
269,16,11,000000851,000000854
270,16,12,000000854,100000217
271,16,13,100000217,000000858
272,16,14,000000858,000000859
273,16,15,000000859,100000126
274,16,16,100000126,100000124
275,16,17,100000124,100000122
276,16,18,100000122,100000120
277,16,19,100000120,100000118
278,16,20,100000118,100000116
279,16,21,100000116,000001441
280,16,22,000001441,000000038
281,16,23,000000038,000000633
282,16,24,000000633,000000021
283,17,1,100000215,100000232
284,17,2,100000232,000000871
285,17,3,000000871,000001568
286,17,4,000001568,000001570
287,17,5,000001570,000001571
288,17,6,000001571,000001132
289,18,1,000000350,000001605
290,18,2,000001605,000001607
291,18,3,000001607,000000352
292,18,4,000000352,000000353
293,18,5,000000353,000000349
294,18,6,000000349,000000345
295,18,7,000000345,000000342
296,18,8,000000342,000001264
297,18,9,000001264,000000340
298,18,10,000000340,000001262
299,18,11,000001262,000000338
300,18,12,000000338,000001266
301,18,13,000001266,000000335
302,18,14,000000335,000001296
303,18,15,000001296,000000333
304,18,16,000000333,000000331
305,18,17,000000331,000001258
306,18,18,000001258,000001256
307,18,19,000001256,000001254
308,18,20,000001254,000000314
309,18,21,000000314,000000241
310,19,1,000000881,000001331
311,19,2,000001331,000001562
312,19,3,000001562,000001563
313,19,4,000001563,000000698
314,19,5,000000698,000000920
315,19,6,000000920,000001335
316,19,7,000001335,000001333
317,19,8,000001333,000000476
318,19,9,000000476,000000875
319,19,10,000000875,000000873
320,19,11,000000873,000000871
321,19,12,000000871,000000477
322,20,1,000000379,000001401
323,20,2,000001401,000000381
324,20,3,000000381,000000383
325,20,4,000000383,000000385
326,20,5,000000385,000000387
327,20,6,000000387,000000389
328,20,7,000000389,000000391
329,20,8,000000391,000000393
