station_name,station_id
Ботаник,000000579
Хууль сахиулах их сургууль,000000386
Шөнийн дэлгүүр,000000384
Чулуун овоо,000000382
Икс апартмент,000001402
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Жуковын музей,000000374
Зүүн 4 зам,000000372
Хөдөлмөрийн яам,000000370
МУБИС,000000585
Мөнгөн завьяа,000000193
Энхтайван найрамдлын ордон,100000010
Баруун 4 зам,000000155
ТБД андууд,000000153
25-р эмийн сан,000000152
10-р хороолол,000000150
3-р эмнэлэг,000000148
Саппоро,000000005
Цамбагарав,000000007
19-р байр,000000008
32-р байр,000000010
Та Чи,000000019
5 Шар,000001412
5 Шар,000000020
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Жуковын музей,000000374
Зүүн 4 зам,000000372
Хөдөлмөрийн яам,000000370
МУБИС,000000585
Мөнгөн завьяа,000000193
Энхтайван найрамдлын ордон,100000010
Баруун 4 зам,000000155
Макс Малл,000001154
Модны 2,000000159
Москва ресторан,000000182
Өргөө кино театр,000000165
"3,4-р хороололын эцэс",000000164
Дүүхээ дэлгүүр,000000163
ГҮНТИЙН ЭЦЭС-зуслан,000000347
Жигжид 5,000001145
Жигжид 4,000001147
Жигжид 3,000001149
Жигжид 2,000001151
Жигжид 1,000001153
Жигжидийн уулзвар,000000345
Яргайтын богино,000000342
Яргайтын богино 1,000001264
Яргайт,000000340
Яргайт 1,000001262
100 мод,000000338
Сэтгүүлчдийн төгөл,000001266
Шадивлан,000000335
Шадивлан-1,000001296
Ар согоот,000000333
Салхит,000000331
Салхит завсар-3,000001258
Салхит завсар-2,000001256
Салхит завсар-1,000001254
Замын цагдаагийн пост,000000314
7 БУУДАЛ,000000241
6 буудал,000000243
Оргил супермаркет,000001444
7 Завсар,000000245
5 буудал,000000247
17-р сургууль,000000269
32-ын тойрог,000000267
Ногоон нуур буудал,000000300
Хүрд компани,000000296
Хүнсний 1-р дэлгүүр,000000201
Тэнгис кино театр,000000258
Гоодойн Ам,000001141
Гоодой 5,000001323
Гоодой 4,000001321
Гоодой 3,000001319
Гоодой 2,000001317
Гоодой 1,000001315
Яргайт 1,000001262
100 мод,000000338
Сэтгүүлчдийн төгөл,000001266
Шадивлан,000000335
Шадивлан-1,000001296
Ар согоот,000000333
Салхит,000000331
Салхит завсар-3,000001258
Салхит завсар-2,000001256
Салхит завсар-1,000001254
Замын цагдаагийн пост,000000314
7 БУУДАЛ,000000241
6 буудал,000000243
Оргил супермаркет,000001444
7 Завсар,000000245
5 буудал,000000247
17-р сургууль,000000269
32-ын тойрог,000000267
Ногоон нуур буудал,000000300
Хүрд компани,000000296
Хүнсний 1-р дэлгүүр,000000201
Тэнгис кино театр,000000258
Ботаник,000000579
Хууль сахиулах их сургууль,000000386
Шөнийн дэлгүүр,000000384
Чулуун овоо,000000382
Икс апартмент,000001402
Офицеруудын ордон,000000380
Баянзүрх дүүрэг,000000378
Монгол кино үйлдвэр,000000376
Жуковын музей,000000374
Зүүн 4 зам,000000372
Хөдөлмөрийн яам,000000370
МУБИС,000000585
Мөнгөн завьяа,000000193
Энхтайван найрамдлын ордон,100000010
Баруун 4 зам,000000155
ТБД андууд,000000153
Богд ар хороолол,000001403
Вокзал,000000178
Санзайн эцэс,000000620
Санзай,000000897
Хандгайт,000000895
Их тамир амралт,000001144
Майхан толгой,000001354
Майхан толгой 1,000001356
Баянбулаг,000001358
Баянбулаг 1,000000357
Баянбулаг,000001326
Хуурай мухар,000000356
Хуурай мухар1,000001325
Шарга морьт 1,000000349
Жигжидийн уулзвар,000000345
Яргайтын богино,000000342
Яргайтын богино 1,000001264
Яргайт,000000340
Яргайт 1,000001262
100 мод,000000338
Сэтгүүлчдийн төгөл,000001266
Шадивлан,000000335
Шадивлан-1,000001296
Ар согоот,000000333
Салхит,000000331
