Attribute,Bus Station 1,Bus Station 2,Bus Station 3
ШАРГА МОРЬТЫН ЭЦЭС-зуслан,350,106.93177,48.06906
Шарга морьтын 5-р буудал,1605,106.92595,48.06796
Шарга морьтын 4-р буудал,1607,106.92189,48.06566
Шарга морьт 3,352,106.91612,48.06214
Шарга морьт 2,353,106.90878,48.05878
Шарга морьт 1,349,106.9053,48.05266
Жигжидийн уулзвар,345,106.90065,48.04772
Яргайтын богино,342,106.90313,48.04296
Яргайтын богино 1,1264,106.90529,48.03875
Яргайт,340,106.9074,48.03486
Яргайт 1,1262,106.91126,48.02909
100 мод,338,106.91328,48.02489
Сэтгүүлчдийн төгөл,1266,106.91534,48.01941
Шадивлан,335,106.9177,48.01522
Шадивлан-1,1296,106.92089,48.01132
Ар согоот,333,106.92437,47.99991
Салхит,331,106.92567,47.99331
Салхит завсар-3,1258,106.92511,47.98865
Салхит завсар-2,1256,106.92361,47.98344
Салхит завсар-1,1254,106.92049,47.98006
Замын цагдаагийн пост,314,106.91797,47.97417
7 БУУДАЛ,241,106.91723,47.96827
6 буудал,243,106.91725,47.96502
Оргил супермаркет,1444,106.91672,47.96128
7 Завсар,245,106.91593,47.95819
5 буудал,247,106.915,47.95455
17-р сургууль,269,106.91389,47.94768
32-ын тойрог,267,106.91448,47.94317
Ногоон нуур буудал,300,106.91599,47.93502
4-р дэлгүүр,294,106.91744,47.92716
Монгол Улсын Их Сургууль,307,106.92211,47.92247
МУБИС,287,106.9233,47.91972
Өргөө амаржих газар,281,106.92632,47.918
Бөхийн өргөө,369,106.93362,47.91839
Зүүн 4 зам,371,106.94104,47.91885
Хавдар судлалын эмнэлэг,401,106.94377,47.91484
Улаанбаатар их сургууль,406,106.94343,47.91104
Их монгол хороолол,1445,106.94323,47.90647
Дүнжингарав Худалдааны төв,621,106.94901,47.90496
